emotion,anger,fear,happiness,sadness,surprise,neutral,pred_label
anger,0.8254286,0.02349174,0.03799047,0.054239947,0.0006711986,0.05817801,anger
sadness,0.76443374,0.025851425,0.0015842207,0.1743393,0.0019032216,0.031888098,anger
neutral,0.020966882,0.086415105,0.05429894,0.07740984,0.0014908977,0.75941837,neutral
happiness,6.327874e-05,0.0003367008,0.99749315,3.7130187e-05,0.0020060965,6.370052e-05,happiness
happiness,0.0018498028,0.00042310532,0.89087224,0.001774221,0.0009178791,0.104162745,happiness
fear,0.0326968,0.7732253,0.0016511801,0.15930873,0.00879662,0.02432137,fear
anger,0.03749355,0.05665256,0.008652152,0.51779485,0.00063309516,0.37877384,sadness
fear,0.035380572,0.06839507,0.46069553,0.2827233,0.004116428,0.14868914,happiness
anger,0.092134506,0.57689464,0.00904941,0.04869695,0.2625946,0.010629944,fear
happiness,4.9060825e-05,0.00019415688,0.9866455,8.6679516e-05,0.01291728,0.00010726319,happiness
anger,0.81751513,0.17817912,0.00027207265,0.0030715081,0.00044718766,0.00051502435,anger
sadness,0.42990372,0.18059929,0.0026065207,0.31315294,0.012377654,0.061359957,anger
fear,0.0008067351,0.9542239,0.00015692078,0.0003395882,0.044398308,7.4539035e-05,fear
neutral,0.016242374,0.03341712,0.0041348194,0.037154753,0.0065285536,0.9025224,neutral
fear,0.027233798,0.64865303,0.0013356325,0.0023650539,0.32013506,0.00027738043,fear
surprise,3.47353e-05,0.014194801,0.00012032744,0.00014961617,0.9854146,8.588195e-05,surprise
anger,0.30468744,0.22308086,0.037022065,0.20883499,0.19384369,0.032530908,anger
surprise,9.416953e-06,0.00020889126,5.2666495e-05,6.9896005e-06,0.99966526,5.669279e-05,surprise
happiness,0.0017253044,0.0015618068,0.79956347,0.0049145413,0.0015420632,0.19069283,happiness
fear,0.08268381,0.029872386,0.01612002,0.006887525,0.8308163,0.033619948,surprise
surprise,0.00040177003,0.0013812842,0.00034419564,0.00038626316,0.9867458,0.010740682,surprise
anger,0.18055317,0.034604557,0.008621682,0.41473287,0.0009034248,0.36058423,sadness
sadness,0.005889536,0.0148655325,0.0001315518,0.42468393,4.621914e-06,0.5544248,neutral
