number,valence,energy,tension,anger,fear,happy,sad,tender,TARGET
001,4.83,6.83,3.17,1.00,1.00,7.33,1.00,1.00,HAPPY
002,4.83,6.17,3.83,1.00,1.00,7.17,1.17,1.83,HAPPY
003,5.60,6.20,3.00,1.00,1.00,7.17,1.00,1.00,HAPPY
004,4.67,6.33,3.83,1.00,1.00,7.17,1.00,1.00,HAPPY
005,6.50,5.00,3.17,1.17,1.00,7.17,1.00,2.83,HAPPY
006,5.00,5.40,2.80,1.00,1.00,7.00,1.00,1.00,HAPPY
007,5.40,6.20,3.80,1.00,1.00,7.00,1.00,1.50,HAPPY
008,5.00,5.20,2.60,1.00,1.00,7.00,1.00,2.00,HAPPY
009,6.00,6.00,3.60,1.00,1.00,7.00,1.00,1.00,HAPPY
010,4.83,6.17,4.33,1.00,1.00,6.50,1.00,1.00,HAPPY
011,4.83,6.50,4.00,1.17,1.00,6.50,1.00,1.67,HAPPY
012,5.20,6.80,4.00,1.00,1.00,6.33,1.00,1.00,HAPPY
013,5.83,5.83,3.17,1.00,1.80,6.20,1.00,1.60,HAPPY
014,5.20,6.00,4.60,1.00,1.00,6.17,1.00,2.50,HAPPY
015,5.83,4.17,2.83,1.00,1.00,6.17,1.00,5.17,HAPPY
016,6.00,3.40,1.60,1.00,1.00,5.67,1.00,7.50,HAPPY
017,5.67,4.50,3.67,1.00,1.00,5.50,1.00,2.33,HAPPY
018,4.33,6.67,4.67,1.00,1.00,5.50,1.00,1.00,HAPPY
019,5.00,5.83,4.67,1.83,1.00,5.50,1.00,1.00,HAPPY
020,5.20,4.60,3.80,1.00,1.00,5.17,1.00,2.67,HAPPY
021,6.40,4.40,2.60,1.00,1.00,4.83,1.00,3.83,HAPPY
022,5.60,5.00,4.20,1.50,1.00,4.67,1.00,1.00,HAPPY
023,5.83,2.83,2.33,1.00,1.00,4.67,1.33,5.33,HAPPY
024,5.83,2.33,1.33,1.00,1.00,4.17,2.00,7.17,HAPPY
