Number,Valence,Energy,Tension,Anger,Fear,Happy,Sad,Tender,Beauty,Liking,TARGET,soundtrack,link
001,2.56,7.73,8.38,6.39,4.40,1.21,1.75,1.01,4.71,4.97,ANGER_HIGH,Lethal weapon 3,227
002,2.50,8.21,8.56,5.76,5.93,1.09,1.60,1.10,4.57,4.79,ANGER_HIGH,The Rainmaker,124
003,2.92,8.21,8.17,6.31,4.06,1.31,1.55,1.01,4.45,5.06,ANGER_HIGH,The Alien Trilogy,125
004,2.88,6.75,7.98,5.42,4.51,1.19,2.10,1.06,4.00,4.35,ANGER_HIGH,Cape Fear,168
005,3.08,6.83,7.50,6.13,4.24,1.07,2.96,1.07,5.08,5.35,ANGER_HIGH,The Fifth Element,239
006,4.90,8.00,7.52,3.27,2.99,2.55,1.55,1.12,4.42,4.73,ANGER_MODERATE,Crouching Tiger jne.,253
007,3.83,7.94,7.94,4.64,4.60,1.49,2.07,1.04,5.34,5.58,ANGER_MODERATE,Batman Returns,316
008,4.00,6.21,7.08,3.81,3.19,1.19,5.15,1.37,6.00,5.79,ANGER_MODERATE,Man of Galilee CD1,114
009,4.54,8.31,7.94,4.13,4.12,1.91,1.37,1.00,4.55,5.64,ANGER_MODERATE,The Untouchables,113
010,2.44,6.67,8.13,4.42,5.91,1.04,2.21,1.07,4.85,5.05,ANGER_MODERATE,Oliver Twist,234
011,2.38,6.38,8.33,2.79,7.42,1.09,1.60,1.07,3.58,4.37,FEAR_HIGH,Batman Returns,219
012,3.60,7.42,8.06,2.28,6.12,1.28,1.57,1.27,4.65,4.99,FEAR_HIGH,JFK,266
013,3.19,7.10,8.15,2.13,6.34,1.31,1.21,1.06,4.43,5.39,FEAR_HIGH,JFK,320
014,2.31,7.48,8.54,2.61,6.79,1.07,1.36,1.01,3.44,3.82,FEAR_HIGH,The Alien Trilogy,157
015,2.31,6.13,8.10,2.00,6.52,1.04,1.70,1.06,4.08,4.22,FEAR_HIGH,Hannibal,313
016,4.21,7.56,7.79,1.88,4.58,1.37,2.10,1.22,4.22,5.00,FEAR_MODERATE,Running Scared,173
017,3.02,4.58,7.75,1.75,6.25,1.10,1.75,1.16,4.35,4.55,FEAR_MODERATE,The Fifth Element,321
018,3.96,7.17,7.69,4.42,4.81,1.21,1.45,1.10,4.52,5.45,FEAR_MODERATE,The Fifth Element,321
019,4.58,4.83,6.81,1.34,2.93,1.49,3.69,2.12,4.95,5.18,FEAR_MODERATE,Lethal weapon 3,325
020,4.58,8.33,8.33,4.18,4.15,2.33,1.39,1.06,4.24,4.47,FEAR_MODERATE,Man of Galilee CD1,162
021,8.00,7.77,4.02,1.00,1.09,6.63,1.12,2.19,5.79,5.92,HAPPY_HIGH,The Rainmaker,003
