Nro,Emotion,Album name,Track,Min:Sec
001,Anger High,Lethal weapon 3,8,04:15-04:29
002,Anger High,The Rainmaker,7,01:45-02:00
003,Anger High,The Alien Trilogy,9,00:03-00:18
004,Anger High,Cape Fear,1,02:15-02:30
005,Anger High,The Fifth Element,19,00:00-00:20
006,Anger Mod.,Crouching Tiger Hidden Dragon,8,01:12-01:25
007,Anger Mod.,Batman Returns,2,00:18-00:33
008,Anger Mod.,Man of Galilee CD1,6,00:40-01:07
009,Anger Mod.,The Untouchables,8,01:38-01:53
010,Anger Mod.,Oliver Twist,15,02:05-02:25
011,Fear High,Batman Returns,5,00:09-00:25
012,Fear High,JFK,8,01:26-01:40
013,Fear High,JFK,8,00:08-00:25
014,Fear High,The Alien Trilogy,5,00:26-00:41
015,Fear High,Hannibal,1,00:40-00:54
016,Fear Mod.,Running Scared,6,02:53-03:07
017,Fear Mod.,The Untouchables,8,01:38-01:53
018,Fear Mod.,The Fifth Element,17,00:00-00:19
019,Fear Mod.,Lethal weapon 3,7,00:00-00:16
020,Fear Mod.,Man of Galilee CD1,2,03:45-04:02
021,Happy High,The Rainmaker,3,02:55-03:13
022,Happy High,Batman,18,00:55-01:15
023,Happy High,Shallow Grave,6,02:02-02:17
024,Happy High,Man of Galilee CD1,2,03:02-03:18
025,Happy High,Oliver Twist,1,00:17-00:34
026,Happy Mod.,The Omen,9,00:00-00:24
027,Happy Mod.,Oliver Twist,8,01:40-02:04
028,Happy Mod.,Grizzly Man,1,00:00-00:27
029,Happy Mod.,The Portrait of a Lady,3,00:23-00:45
030,Happy Mod.,Nostradamus,2,01:09-01:28
031,Sad High,The English Patient,18,00:07-00:32
032,Sad High,Running Scared,15,02:06-02:27
033,Sad High,The Portrait of a Lady,9,00:00-00:22
034,Sad High,Big Fish,15,00:55-01:11
035,Sad High,Man of Galilee CD1,8,01:20-01:37
036,Sad Mod.,Angel Heart,4,00:08-00:28
037,Sad Mod.,Batman,5,01:08-01:22
038,Sad Mod.,Dracula,7,00:00-00:12
039,Sad Mod.,Shakespeare in Love,3,00:59-01:17
040,Sad Mod.,The English Patient,7,00:00-00:31
041,Tender High,Shine,10,01:28-01:48
042,Tender High,Pride Prejudice,1,00:10-00:26
043,Tender High,Dances with Wolves,4,01:31-01:48
044,Tender High,Pride Prejudice,12,00:01-00:15
045,Tender High,Oliver Twist,8,00:14-00:30
046,Tender Mod.,Batman,9,00:00-00:19
047,Tender Mod.,Oliver Twist,8,01:15-01:32
048,Tender Mod.,Dracula,4,00:55-01:09
049,Tender Mod.,Juha,2,02:11-02:26
050,Tender Mod.,Oliver Twist,2,00:00-00:29
051,Valence Pos. High,Juha,10,00:20-00:38
052,Valence Pos. High,Blanc,12,00:51-01:06
053,Valence Pos. High,Gladiator,17,00:14-00:27
054,Valence Pos. High,Pride Prejudice,9,00:01-00:21
055,Valence Pos. High,Dances with Wolves,10,00:28-00:46
056,Valence Pos. Mod.,Man of Galilee CD1,2,00:19-00:42
